tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical_parameter,target_kategori,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min,washout_effect,ventilation_proxy,rainy_day,is_holiday_nasional,nama_libur,is_weekend,day_name,is_working_day,tahun,Total_Penduduk,ndvi,month,year,day_of_week
2010-01-18,DKI1,38.0,54.16862487792969,4.0,29.0,24.0,15.0,38.0,PM10,BAIK,28.5,24.0,3.2,17.0,15.9,287.0,20.33,25.9,85.0,82.0,1010.4,40.7,287.0,93.0,76.0,100.0,51.0,25.3,8.9,9.7,4.0,1011.9,1007.7,28.480000000000004,0.0088083927157561,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.2211,1.0,2010.0,0.0
2010-01-19,DKI1,40.0,47.85382080078125,3.0,43.0,23.0,23.0,43.0,CO,BAIK,27.2,23.7,21.0,23.0,16.6,299.0,15.3,25.2,88.0,94.0,1010.6,33.5,299.0,95.0,79.0,100.0,72.0,21.6,7.2,11.9,0.4,1012.3,1008.9,151.20000000000002,0.0071244805066297,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.2188,1.0,2010.0,1.0
2010-01-20,DKI1,61.0,68.87702941894531,5.0,63.0,16.0,17.0,63.0,CO,SEDANG,28.8,23.0,6.6,14.0,12.3,254.0,19.67,25.4,89.0,97.0,1011.2,30.2,254.0,98.0,73.0,100.0,73.0,17.0,5.3,6.8,1.1,1012.7,1009.1,34.98,0.0052412974683544,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.2165,1.0,2010.0,2.0
2010-01-21,DKI1,36.0,42.67022705078125,4.0,27.0,23.0,13.0,36.0,PM10,BAIK,29.6,23.9,11.6,8.0,13.4,262.0,19.13,26.1,85.0,97.0,1010.9,33.1,262.0,97.0,70.0,100.0,52.0,15.7,7.0,7.6,2.3,1012.2,1008.7,81.2,0.0069245227025422,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.2142,1.0,2010.0,3.0
2010-01-22,DKI1,51.0,54.74211883544922,4.0,45.0,14.0,13.0,51.0,PM10,SEDANG,29.3,23.9,12.7,13.0,13.7,253.0,18.13,25.7,87.0,99.0,1011.1,31.7,253.0,95.0,73.0,100.0,93.0,16.7,7.9,8.3,4.6,1012.6,1009.9,100.33,0.007813272673326,1.0,0.0,,0.0,Friday,1,2010.0,902973.0,0.2118999999999999,1.0,2010.0,4.0
2010-01-23,DKI1,35.0,42.69950866699219,3.0,30.0,20.0,14.0,35.0,PM10,BAIK,29.3,23.7,17.0,17.0,12.3,252.0,16.63,25.9,86.0,90.0,1010.9,26.6,252.0,96.0,72.0,100.0,70.0,14.5,6.3,5.0,3.2,1012.1,1008.5,107.1,0.006232070432288,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.2095999999999999,1.0,2010.0,5.0
2010-01-24,DKI1,56.0,64.6280288696289,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG,28.8,23.0,3.2,10.0,16.0,270.0,20.92,26.0,87.0,81.0,1010.0,31.3,270.0,99.0,75.0,100.0,23.0,16.2,6.3,9.0,1.8,1012.1,1007.6,20.16,0.0062376237623762,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.2072999999999999,1.0,2010.0,6.0
2010-01-25,DKI1,59.0,64.35629272460938,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG,27.1,23.6,6.5,16.0,13.0,301.0,12.51,25.6,88.0,99.0,1010.5,24.8,301.0,95.0,83.0,100.0,95.0,14.8,6.1,6.5,0.5,1012.3,1008.7,39.65,0.0060366155368629,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.205,1.0,2010.0,0.0
2010-01-26,DKI1,43.0,54.18829345703125,5.0,42.0,19.0,24.0,43.0,PM10,BAIK,28.5,23.6,6.0,13.0,12.9,286.0,20.1,25.9,86.0,90.0,1010.4,26.3,286.0,96.0,74.0,100.0,41.0,15.2,5.2,8.6,0.7,1012.2,1008.0,31.200000000000003,0.0051464766429136,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.2027,1.0,2010.0,1.0
2010-01-27,DKI1,54.0,65.85506439208984,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG,29.4,23.2,9.1,14.0,12.9,286.0,20.44,25.9,87.0,90.0,1010.4,28.8,286.0,96.0,73.0,100.0,62.0,15.5,5.5,7.6,0.7,1011.7,1008.0,50.05,0.0054433887569279,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.2004,1.0,2010.0,2.0
2010-01-28,DKI1,72.0,87.78962707519531,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG,29.0,23.7,13.1,14.0,12.8,285.0,18.9,25.9,86.0,96.0,1010.3,26.6,285.0,94.0,73.0,100.0,90.0,15.4,6.5,8.3,1.1,1012.1,1007.5,85.14999999999999,0.0064337325546867,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.1981,1.0,2010.0,3.0
2010-01-29,DKI1,51.0,60.2054443359375,8.0,24.0,19.0,11.0,51.0,PM10,SEDANG,28.9,23.5,9.5,11.0,13.8,279.0,19.67,26.0,86.0,93.0,1010.1,29.9,279.0,94.0,74.0,100.0,67.0,18.0,8.2,8.6,3.4,1012.0,1007.3,77.89999999999999,0.0081180081180081,1.0,0.0,,0.0,Friday,1,2010.0,902973.0,0.1957999999999999,1.0,2010.0,4.0
2010-01-30,DKI1,47.0,54.422000885009766,8.0,32.0,19.0,12.0,47.0,PM10,BAIK,27.9,23.5,13.3,20.0,13.2,294.0,12.64,25.3,90.0,100.0,1010.4,31.0,294.0,96.0,80.0,100.0,97.0,17.2,6.5,6.1,1.9,1012.3,1008.1,86.45,0.0064330958036421,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.1934999999999999,1.0,2010.0,5.0
2010-01-31,DKI1,32.0,47.54246139526367,5.0,25.0,26.0,10.0,32.0,PM10,BAIK,28.0,23.6,8.7,21.0,13.2,300.0,11.93,25.7,87.0,100.0,1011.0,25.6,300.0,97.0,75.0,100.0,97.0,14.6,5.9,8.6,2.0,1012.1,1008.5,51.33,0.005835806132542,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.1911999999999999,1.0,2010.0,6.0
2010-02-01,DKI1,41.0,47.51343536376953,7.0,30.0,17.0,13.0,41.0,PM10,BAIK,28.9,24.2,6.9,14.0,9.5,260.0,13.01,26.2,85.0,99.0,1010.1,22.0,260.0,95.0,72.0,100.0,94.0,13.7,6.0,8.6,2.3,1011.9,1007.4,41.400000000000006,0.0059400059400059,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.1888999999999999,2.0,2010.0,0.0
2010-02-02,DKI1,50.0,63.67931365966797,4.0,30.0,23.0,12.0,50.0,PM10,BAIK,30.4,23.7,3.4,4.0,13.6,244.0,22.18,26.8,84.0,83.0,1009.1,27.7,244.0,95.0,71.0,100.0,37.0,16.8,8.1,9.0,4.9,1010.9,1006.9,27.54,0.0080269547121197,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.1866,2.0,2010.0,1.0
2010-02-03,DKI1,49.0,61.888084411621094,7.0,33.0,57.0,23.0,57.0,O3,SEDANG,30.1,24.1,7.9,11.0,10.3,262.0,20.89,26.6,86.0,98.0,1009.1,21.6,262.0,96.0,72.0,100.0,95.0,13.1,5.5,6.5,1.1,1010.8,1006.5,43.45,0.0054504013477356,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.1858375,2.0,2010.0,2.0
2010-02-04,DKI1,59.0,61.08043670654297,9.0,38.0,75.0,26.0,75.0,O3,SEDANG,29.7,23.8,15.1,13.0,11.3,202.0,21.18,26.1,88.0,79.0,1009.3,25.9,202.0,97.0,73.0,98.0,24.0,12.9,4.9,7.2,2.2,1010.9,1006.4,73.99000000000001,0.0048548498959675,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.185075,2.0,2010.0,3.0
2010-02-05,DKI1,63.0,72.57852935791016,7.0,39.0,41.0,23.0,63.0,PM10,SEDANG,28.6,24.2,11.4,14.0,11.7,298.0,15.57,25.8,89.0,99.0,1010.0,25.9,298.0,97.0,78.0,100.0,96.0,12.2,4.5,6.5,0.4,1011.9,1007.9,51.3,0.0044554455445544,1.0,0.0,,0.0,Friday,1,2010.0,902973.0,0.1843125,2.0,2010.0,4.0
2010-02-06,DKI1,65.0,75.61286163330078,8.0,59.0,24.0,15.0,65.0,PM10,SEDANG,28.1,23.9,6.2,11.0,8.9,253.0,12.73,26.1,85.0,100.0,1011.3,22.3,253.0,96.0,76.0,100.0,97.0,12.7,5.4,5.0,2.3,1012.6,1009.6,33.480000000000004,0.0053396618214179,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.18355,2.0,2010.0,5.0
2010-02-07,DKI1,60.0,72.28948974609375,10.0,45.0,47.0,17.0,60.0,PM10,SEDANG,29.4,23.5,6.3,11.0,9.8,89.0,21.72,26.4,86.0,76.0,1010.7,23.0,89.0,97.0,74.0,100.0,25.0,11.8,5.1,5.8,1.1,1012.6,1008.1,32.129999999999995,0.0050460077174235,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.1827875,2.0,2010.0,6.0
2010-02-08,DKI1,46.0,57.11879348754883,5.0,31.0,42.0,17.0,46.0,PM10,BAIK,28.9,24.0,8.9,15.0,9.9,52.0,19.06,26.2,87.0,88.0,1010.1,25.2,52.0,96.0,79.0,99.0,57.0,12.9,4.7,5.8,0.4,1011.9,1007.3,41.830000000000005,0.0046530046530046,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.182025,2.0,2010.0,0.0
2010-02-09,DKI1,52.0,66.77885437011719,7.0,30.0,34.0,16.0,52.0,PM10,SEDANG,29.9,24.5,9.8,16.0,12.7,80.0,20.67,26.5,86.0,87.0,1009.7,26.6,80.0,96.0,72.0,99.0,34.0,14.4,6.0,7.2,2.9,1011.4,1007.4,58.8,0.0059423591165692,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.1812625,2.0,2010.0,1.0
2010-02-10,DKI1,50.0,67.15182495117188,8.0,31.0,39.0,14.0,50.0,PM10,BAIK,30.7,24.4,3.4,6.0,11.4,86.0,23.26,27.2,84.0,71.0,1009.6,25.9,86.0,96.0,70.0,97.0,18.0,13.9,5.7,6.8,2.5,1011.3,1007.0,19.38,0.0056458003169572,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.1805,2.0,2010.0,2.0
2010-02-11,DKI1,47.0,57.911502838134766,5.0,27.0,26.0,14.0,47.0,PM10,BAIK,30.5,24.1,6.2,9.0,9.0,57.0,22.12,27.0,85.0,95.0,1010.2,22.3,57.0,98.0,72.0,100.0,77.0,12.7,4.7,5.8,0.7,1011.8,1008.3,29.14,0.004652544050683,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.1797375,2.0,2010.0,3.0
2010-02-12,DKI1,56.0,62.69548416137695,6.0,33.0,45.0,20.0,56.0,PM10,SEDANG,29.3,24.7,11.1,12.0,12.8,359.0,21.38,26.9,87.0,90.0,1010.1,28.8,359.0,96.0,77.0,99.0,57.0,13.5,4.7,7.2,0.4,1011.8,1007.9,52.17,0.0046530046530046,1.0,0.0,,0.0,Friday,1,2010.0,902973.0,0.178975,2.0,2010.0,4.0
2010-02-13,DKI1,55.0,60.59574508666992,6.0,39.0,14.0,14.0,55.0,PM10,SEDANG,27.9,24.3,17.7,20.0,10.6,341.0,14.54,25.9,90.0,99.0,1009.3,29.9,341.0,97.0,82.0,100.0,95.0,14.2,3.6,5.4,0.5,1011.2,1007.0,63.72,0.0035668284949965,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.1782125,2.0,2010.0,5.0
2010-02-14,DKI1,55.0,57.982242584228516,6.0,61.0,16.0,13.0,61.0,CO,SEDANG,27.8,23.8,7.9,16.0,7.9,277.0,11.67,25.8,89.0,100.0,1009.6,24.5,277.0,97.0,80.0,100.0,99.0,14.4,4.1,4.7,0.7,1012.0,1007.6,32.39,0.0040610142630744,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.17745,2.0,2010.0,6.0
2010-02-15,DKI1,40.0,49.189353942871094,4.0,30.0,63.0,22.0,63.0,O3,SEDANG,30.0,23.4,17.3,12.0,11.3,272.0,21.3,26.5,85.0,86.0,1009.3,25.2,272.0,96.0,69.0,100.0,33.0,12.8,4.8,6.5,1.1,1011.3,1006.9,83.04,0.004755771326662,1.0,1.0,Lunar New Year,0.0,Monday,0,2010.0,902973.0,0.1766875,2.0,2010.0,0.0
2010-02-16,DKI1,56.0,58.88312530517578,4.0,43.0,25.0,20.0,56.0,PM10,SEDANG,29.1,23.8,14.2,22.0,10.9,296.0,17.75,26.2,89.0,90.0,1010.0,25.9,296.0,97.0,76.0,100.0,56.0,11.9,4.2,4.3,0.8,1011.5,1008.0,59.64,0.0041584158415841,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.175925,2.0,2010.0,1.0
2010-02-17,DKI1,52.0,64.16961669921875,4.0,34.0,30.0,17.0,52.0,PM10,SEDANG,28.9,24.4,8.6,20.0,11.0,295.0,16.24,26.2,89.0,92.0,1009.7,23.0,295.0,96.0,80.0,100.0,71.0,13.2,5.3,5.8,1.5,1011.1,1007.6,45.58,0.0052490838863028,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.1751625,2.0,2010.0,2.0
2010-02-18,DKI1,41.0,45.83749771118164,5.0,26.0,14.0,10.0,41.0,PM10,BAIK,28.1,24.1,30.1,23.0,14.1,293.0,11.57,25.5,91.0,98.0,1010.3,27.4,293.0,98.0,80.0,100.0,86.0,14.6,4.3,5.4,0.8,1012.1,1008.5,129.43,0.0042561615361773,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.1744,2.0,2010.0,3.0
2010-02-19,DKI1,37.0,42.86790084838867,4.0,43.0,17.0,17.0,43.0,CO,BAIK,27.2,24.0,22.0,24.0,11.0,263.0,8.81,25.3,90.0,98.0,1011.1,27.7,263.0,95.0,80.0,100.0,94.0,17.4,6.0,8.6,1.9,1012.7,1009.4,132.0,0.0059341311442982,1.0,0.0,,0.0,Friday,1,2010.0,902973.0,0.17154375,2.0,2010.0,4.0
2010-02-20,DKI1,52.0,61.38095474243164,3.0,64.0,18.0,12.0,64.0,CO,SEDANG,28.5,24.3,9.8,20.0,15.2,268.0,13.04,26.0,87.0,86.0,1010.7,27.0,268.0,96.0,78.0,100.0,58.0,16.4,8.7,10.1,4.2,1012.9,1008.8,85.26,0.0086078955179578,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.1686875,2.0,2010.0,5.0
2010-02-21,DKI1,61.0,76.510498046875,4.0,53.0,36.0,15.0,61.0,PM10,SEDANG,29.8,24.2,5.3,13.0,12.7,296.0,22.03,26.6,85.0,71.0,1010.6,27.0,296.0,94.0,73.0,100.0,28.0,16.4,7.4,9.7,4.3,1012.5,1007.8,39.22,0.0073223827429249,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.16583125,2.0,2010.0,6.0
2010-02-22,DKI1,34.0,46.2406005859375,4.0,31.0,23.0,16.0,34.0,PM10,BAIK,29.9,24.5,2.7,6.0,10.7,263.0,18.34,26.7,85.0,92.0,1010.9,27.7,263.0,93.0,75.0,100.0,48.0,17.8,7.4,6.8,3.6,1013.1,1008.0,19.980000000000004,0.0073202097141161,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.162975,2.0,2010.0,0.0
2010-02-23,DKI1,57.0,63.2064323425293,7.0,35.0,42.0,18.0,57.0,PM10,SEDANG,29.6,24.9,6.4,19.0,8.7,265.0,15.23,26.9,86.0,90.0,1009.5,23.0,265.0,95.0,73.0,100.0,69.0,12.8,4.5,4.7,1.1,1011.6,1007.1,28.8,0.0044576523031203,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.16011875,2.0,2010.0,1.0
2010-02-24,DKI1,59.0,67.29061889648438,4.0,44.0,93.0,24.0,93.0,O3,SEDANG,30.0,24.0,13.8,16.0,13.8,291.0,20.72,26.5,87.0,88.0,1008.6,28.4,291.0,97.0,76.0,100.0,45.0,13.9,4.8,4.3,1.1,1010.0,1006.9,66.24,0.0047590719809637,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.1572625,2.0,2010.0,2.0
2010-02-25,DKI1,65.0,75.8551254272461,6.0,55.0,26.0,26.0,65.0,PM10,SEDANG,28.1,23.8,6.8,16.0,13.9,318.0,15.26,26.0,89.0,99.0,1009.9,25.2,318.0,97.0,80.0,100.0,95.0,12.5,4.9,6.8,0.5,1012.1,1008.2,33.32,0.0048519655411426,1.0,0.0,,0.0,Thursday,1,2010.0,902973.0,0.15440625,2.0,2010.0,3.0
2010-02-26,DKI1,68.0,74.19649505615234,9.0,67.0,67.0,22.0,68.0,PM10,SEDANG,30.4,23.9,0.7,4.0,8.7,281.0,23.95,27.1,85.0,78.0,1009.4,20.2,281.0,96.0,69.0,100.0,2.0,12.4,5.1,7.9,0.8,1011.5,1007.0,3.5699999999999994,0.0050525064394689,0.0,1.0,Prophet's Birthday,0.0,Friday,0,2010.0,902973.0,0.15155,2.0,2010.0,4.0
2010-02-27,DKI1,67.0,81.357421875,8.0,47.0,47.0,19.0,67.0,PM10,SEDANG,31.2,24.7,4.8,6.0,9.7,262.0,23.14,27.4,83.0,76.0,1008.7,23.0,262.0,95.0,67.0,100.0,19.0,12.6,5.1,6.8,3.2,1010.7,1006.1,24.48,0.0050560126896004,1.0,0.0,,1.0,Saturday,0,2010.0,902973.0,0.14869375,2.0,2010.0,5.0
2010-02-28,DKI1,65.0,82.42304229736328,6.0,38.0,80.0,23.0,80.0,O3,SEDANG,31.2,24.7,10.4,12.0,8.2,240.0,22.08,27.3,85.0,93.0,1009.3,19.4,240.0,94.0,70.0,100.0,76.0,13.5,4.6,8.6,2.3,1011.6,1006.8,47.84,0.0045576141880511,1.0,0.0,,1.0,Sunday,0,2010.0,902973.0,0.1458375,2.0,2010.0,6.0
2010-03-01,DKI1,60.0,68.0592269897461,5.0,39.0,44.0,19.0,60.0,PM10,SEDANG,31.4,24.9,11.2,6.0,9.4,224.0,23.89,27.1,85.0,93.0,1009.9,21.2,224.0,95.0,70.0,100.0,28.0,15.7,5.7,8.3,1.6,1012.2,1007.0,63.84,0.0056441231805129,1.0,0.0,,0.0,Monday,1,2010.0,902973.0,0.14298125,3.0,2010.0,0.0
2010-03-02,DKI1,74.0,90.68672180175781,8.0,56.0,68.0,27.0,74.0,PM10,SEDANG,30.8,24.3,12.9,14.0,10.0,280.0,22.44,26.8,87.0,82.0,1009.5,25.2,280.0,97.0,70.0,100.0,16.0,12.5,4.1,6.8,1.8,1011.2,1006.9,52.88999999999999,0.0040614165428429,1.0,0.0,,0.0,Tuesday,1,2010.0,902973.0,0.140125,3.0,2010.0,1.0
2010-03-03,DKI1,54.0,73.17194366455078,12.0,35.0,77.0,25.0,77.0,O3,SEDANG,29.8,24.5,3.7,11.0,10.0,27.0,18.33,26.9,87.0,98.0,1009.2,23.4,27.0,96.0,73.0,100.0,94.0,11.7,3.4,4.0,0.7,1010.8,1007.0,12.58,0.0033690051525961,1.0,0.0,,0.0,Wednesday,1,2010.0,902973.0,0.13726875,3.0,2010.0,2.0
